# This file contains word-score pairings from the MRC Psycholinguistic Database.
# Words are scored on four attributes: Age of Aquisition, Concreteness, Familiarity, and Imagability

# Only words that have a Kucera-Francis written frequency of at least 38 are included, since
# the Database can only show a maximum of 5000 results per search

WORD                     AOA CNC FAM IMG
GLANCE                     -   -   -   - 
GLASS                      - 635 611 585 
GO                         - 337 618 364 
GOAL                     294 482 554 556 
GOD                        - 365 567 461 
GOING                      -   -   -   - 
GOLD                       - 576 550 594 
GOLDEN                     -   - 489 562 
GONE                       - 321 546 313 
GOOD                       - 297 621 374 
GOODS                      -   -   -   - 
GOT                        - 252 565 286 
GOVERNMENT               453 426 594 486 
GOVERNOR                   -   -   -   - 
GRACE                      - 314 478 441 
GRADUALLY                  -   -   -   - 
GRAND                      -   -   -   - 
GRANT                      -   -   -   - 
GRASS                      - 599 587 602 
GRAY                       - 471 531 541 
GREAT                      - 311 588 390 
GREATER                    -   -   -   - 
GREATEST                   -   -   -   - 
GREATLY                    -   - 570 295 
GREEK                      -   -   -   - 
GREEN                    225 460 583 609 
GREW                       -   -   -   - 
GROSS                      -   -   -   - 
GROUND                   258 558 574 513 
GROUP                      - 451 553 467 
GROW                       - 409 562 371 
GROWING                    -   -   -   - 
GROWN                      - 356 552 292 
GROWTH                   378 381 560 426 
GUARD                    344 517 504 530 
GUESS                    292 247 585 330 
GUEST                      - 519 560 497 
GUIDANCE                   -   -   -   - 
GUN                      228 612 519 613 
GUY                      358 565 550 551 
H                          -   -   -   - 
HAD                        - 253 570 296 
HADN'T                     -   -   -   - 
HAIR                       - 583 575 580 
HALF                     267 389 610 458 
HALL                     283 565 592 559 
HAND                       - 604 601 598 
HANDED                     -   -   -   - 
HANDLE                     -   -   -   - 
HANDLING                   -   -   -   - 
HANDSOME                   -   -   -   - 
HANOVER                    -   -   -   - 
HANS                       -   -   -   - 
HAPPEN                     -   -   -   - 
HAPPY                      - 355 621 511 
HARD                       - 425 595 460 
HARDLY                     - 223 500 256 
HARDY                      -   -   -   - 
HAS                        - 267 585 271 
HAT                        - 601 580 562 
HATE                     278 335 552 462 
HAVE                       - 251 597 271 
HAVEN'T                    -   -   -   - 
HAVING                     -   -   -   - 
HE                         - 399 604 452 
HE'S                       -   -   -   - 
HEAD                     181 603 611 593 
HEADED                     -   -   -   - 
HEADQUARTERS               - 525 429 499 
HEALTH                   400 372 577 432 
HEAR                       - 394 602 425 
HEARD                      -   -   -   - 
HEARING                    - 369 576 401 
HEARST                     -   -   -   - 
HEART                    281 605 578 617 
HEAT                     278 472 580 507 
HEAVEN                   272 305 536 448 
HEAVILY                    -   -   -   - 
HEAVY                      - 413 581 495 
HELD                       -   -   -   - 
HELL                     314 355 564 519 
HELP                     222 320 594 464 
HELPING                    -   -   -   - 
HENCE                      -   -   -   - 
HER                        - 419 569 464 
HERE                       - 285 599 278 
HERO                     361 428 510 483 
HERSELF                    -   -   -   - 
HIGH                       - 371 612 463 
HIGHER                     - 324 574 464 
HIGHEST                    -   -   -   - 
HIGHLY                     -   -   -   - 
HIGHWAY                  436 575 488 581 
HILL                     256 588 585 607 
HIM                        - 368 613 421 
HIMSELF                    - 285 569 317 
HIS                        - 320 614 337 
HISTORICAL                 -   -   -   - 
HISTORY                  369 328 564 405 
HIT                        -   -   -   - 
HOLD                     267 416 596 416 
HOLDING                    -   -   -   - 
HOLE                       - 485 545 527 
HOLY                       -   -   -   - 
HOME                     233 539 626 599 
HONEST                     -   - 607 366 
HONOR                      -   -   -   - 
HOPE                       - 261 561 421 
HORSE                      - 613 560 624 
HOSPITAL                 319 584 548 602 
HOT                        - 507 607 551 
HOTEL                    308 591 565 597 
HOUR                       - 375 608 408 
HOUSE                      - 608 600 606 
HOUSING                    -   -   -   - 
HOW                        - 195 593 230 
HOWEVER                    - 186 552 247 
HUGE                       -   -   -   - 
HUMAN                    369 583 596 543 
HUNDRED                    -   -   -   - 
HUNG                       -   -   -   - 
HUSBAND                    - 549 557 537 
HYDROGEN                   -   -   -   - 
I                          - 483 628 465 
I'M                        -   -   -   - 
I'VE                       -   -   -   - 
ICE                      261 621 564 635 
IDEA                       - 259 585 319 
IDEAL                    461 253 521 331 
IDENTIFICATION           528 285 451 345 
IDENTITY                   -   -   -   - 
IF                         - 204 607 228 
ILL                        -   -   -   - 
IMAGE                      -   -   -   - 
IMAGINATION              408 274 570 407 
IMAGINE                    -   -   -   - 
IMMEDIATE                  -   -   -   - 
IMMEDIATELY                -   -   -   - 
IMPACT                     - 379 464 456 
IMPORTANCE               406 244 575 347 
IMPORTANT                  -   - 624 341 
IMPOSSIBLE               358 198 565 302 
IMPRESSION               486 288 554 313 
IMPRESSIVE                 -   -   -   - 
IMPROVE                    -   - 578 307 
IMPROVEMENT              442 326 564 332 
IN                         - 278 616 334 
INCH                       - 451 583 497 
INCIDENT                 458 340 497 344 
INCLUDE                    -   -   -   - 
INCLUDED                   -   -   -   - 
INCLUDING                  -   -   -   - 
INCOME                   506 429 521 475 
INCREASE                 419 315 590 356 
INDEED                     -   -   -   - 
INDEPENDENCE             522 242 543 440 
INDEPENDENT                -   - 523 361 
INDEX                      -   -   -   - 
INDIA                      -   -   -   - 
INDIAN                     - 622 546 580 
INDICATE                   -   -   -   - 
INDIVIDUAL               454 474 586 440 
INDUSTRIAL                 -   -   -   - 
INDUSTRY                 492 479 559 499 
INEVITABLY                 -   -   -   - 
INFLUENCE                542 280 539 270 
INFORMATION              397 388 590 364 
INFORMED                   -   -   -   - 
INITIAL                    -   -   -   - 
INNER                      -   -   -   - 
INSIDE                     -   - 611 371 
INSTANCE                 471 284 501 250 
INSTANT                    -   -   -   - 
INSTEAD                    -   -   -   - 
INSTITUTE                  - 499 505 485 
INSTITUTION              553 442 492 449 
INSTRUMENT                 - 543 553 521 
INSURANCE                508 315 484 365 
INTEGRATION                -   -   -   - 
INTELLECTUAL               -   -   -   - 
INTELLIGENCE             458 275 570 383 
INTENDED                   -   -   -   - 
INTENSE                    - 361 490 340 
INTENSITY                  -   -   -   - 
INTEREST                 411 305 572 359 
INTERESTED                 -   -   -   - 
INTERESTING                -   - 568 359 
INTERFERENCE               -   -   -   - 
INTERIOR                 481 434 456 424 
INTERNAL                   -   -   -   - 
INTERNATIONAL              -   -   -   - 
INTERPRETATION             -   -   -   - 
INTO                       - 306 584 259 
INTRODUCTION             481 341 566 356 
INVESTIGATION            486 351 501 397 
INVESTMENT                 -   -   -   - 
INVOLVED                   -   - 586 363 
IRON                     281 584 555 561 
IS                         - 223 627 230 
ISLAND                   289 596 507 643 
ISN'T                      -   -   -   - 
ISSUE                    472 338 525 315 
IT                         - 271 625 265 
IT'S                       -   -   -   - 
ITALIAN                    -   -   -   - 
ITEM                     406 436 545 369 
ITS                        - 209 547 229 
ITSELF                     -   -   -   - 
J                          -   -   -   - 
JACK                     414 552 472 460 
JAMES                      -   -   -   - 
JANUARY                    -   -   -   - 
JAPAN                      -   -   -   - 
JAPANESE                   -   -   -   - 
JAZZ                       -   -   -   - 
JESUS                      -   -   -   - 
JEWISH                     -   -   -   - 
JOB                        - 432 578 470 
JOE                        -   -   -   - 
JOHN                       -   -   -   - 
JOIN                       - 292 544 340 
JOINT                      -   - 527   - 
JOSEPH                     -   -   -   - 
JOURNAL                  447 563 486 509 
JOY                      342 300 545 533 
JUDGE                      - 506 539 558 
JUDGMENT                   -   -   -   - 
JULY                       -   -   -   - 
JUNE                       -   -   -   - 
JUNIOR                   356 384 470 391 
JURY                       - 540 498 580 
JUST                       - 257 540 221 
JUSTICE                  500 307 522 379 
KEEP                       - 339 584 284 
KEEPING                    -   -   -   - 
KEPT                       - 264 531 300 
KEY                        - 612 603 618 
KID                        - 536 559 525 
KILL                       - 386 549 481 
KIND                       - 323 575 383 
KING                       - 559 522 585 
KITCHEN                    -   -   -   - 
KNEW                       - 291 557 267 
KNIFE                      - 612 573 633 
KNOW                       - 274 605 278 
KNOWING                    -   -   -   - 
KNOWLEDGE                477 278 575 348 
KNOWN                      - 226 545 310 
L                          -   -   -   - 
LA                         -   -   -   - 
LABORATORY                 -   -   -   - 
LACK                       - 311 532 302 
LADY                     231 564 573 571 
LAID                       - 350 507 493 
LAKE                       - 585 583 616 
LAND                     286 604 574 566 
LANGUAGE                   -   -   -   - 
LARGE                      -   - 634 449 
LAST                       - 299 587 367 
LATE                       - 262 584 387 
LATER                      -   -   -   - 
LATIN                      -   -   -   - 
LATTER                   536 280 444 256 
LAW                      383 349 562 409 
LAWYER                   481 569 520 557 
LAY                        -   - 566 426 
LEAD                     400 543 526 488 
LEADER                   353 487 559 502 
LEADERSHIP                 -   -   -   - 
LEADING                    -   -   -   - 
LEAGUE                     -   -   -   - 
LEARN                      - 370 552 361 
LEARNED                    -   -   -   - 
LEARNING                 322 303 565 370 
LEAST                      - 275 529 302 
LEAVE                      -   -   -   - 
LEAVING                    -   -   -   - 
LED                        - 370 526 394 
LEFT                       - 341 592 383 
LEG                        - 626 589 601 
LEGAL                      -   -   -   - 
LEGISLATION                - 397 466 367 
LEGISLATIVE                -   -   -   - 
LEGISLATURE                -   -   -   - 
LENGTH                   322 365 591 395 
LESS                       - 266 541 286 
LET                        -   -   -   - 
LETTER                   256 577 610 595 
LEVEL                      - 422 504 385 
LEWIS                      -   -   -   - 
LIBERAL                    -   -   -   - 
LIBERTY                  528 302 467 392 
LIBRARY                    - 564 580 587 
LIE                      250 357 548 385 
LIFE                       - 361 598 482 
LIGHT                      - 550 575 542 
LIGHTS                     -   -   -   - 
LIKE                       - 286 610 352 
LIKELY                     -   -   -   - 
LIMIT                      -   -   -   - 
LIMITED                    -   - 511 281 
LINCOLN                    -   -   -   - 
LINE                     275 477 591 491 
LIQUID                   343 555 578 589 
LIQUOR                     - 630 579 576 
LIST                       -   -   -   - 
LISTEN                     - 408 543 378 
LITERARY                   -   -   -   - 
LITERATURE               494 462 529 487 
LITTLE                     - 378 594 502 
LIVE                       - 436 608 446 
LIVED                      -   -   -   - 
LIVES                      -   -   -   - 
LIVING                     -   -   -   - 
LOAD                       - 439 562 461 
LOAN                     428 372 535 430 
LOCAL                      -   -   -   - 
LOCATION                   -   -   -   - 
LONDON                     -   -   -   - 
LONG                       - 381 579 471 
LONGER                     -   -   -   - 
LOOK                     225 376 607 395 
LOOKING                    -   -   -   - 
LOOSE                      -   - 594 397 
LORD                     342 409 518 482 
LOSE                       - 299 534 373 
LOSS                     331 313 558 409 
LOST                       -   -   -   - 
LOT                        -   -   -   - 
LOUIS                      -   -   -   - 
LOVE                     303 311 619 569 
LOVELY                     - 318 523 491 
LOW                        - 322 580 378 
LOWER                      -   -   -   - 
LUCK                     292 275 587 399 
M                          -   -   -   - 
MACHINE                    - 578 549 575 
MACHINERY                409 545 528 526 
MAD                        - 308 590 479 
MADE                       - 327 579 351 
MAGAZINE                 353 588 585 588 
MAIL                       - 508 554 548 
MAIN                     364 324 574 309 
MAINTAIN                   -   -   -   - 
MAINTENANCE                -   -   -   - 
MAJOR                      -   - 558 395 
MAJORITY                 531 338 546 390 
MAKE                       - 299 618 322 
MAKING                     -   -   -   - 
MAMA                       -   -   -   - 
MAN                        - 618 623 567 
MANAGEMENT               508 381 518 415 
MANAGER                    -   -   -   - 
MANCHESTER                 -   -   -   - 
MANKIND                  467 406 500 452 
MANNER                     - 297 546 342 
MANTLE                     - 579 438 596 
MANY                       - 276 599 393 
MARCH                    269 440 539 497 
MARINE                     -   -   -   - 
MARK                       - 464 533 434 
MARKED                     -   -   -   - 
MARKET                   328 551 518 583 
MARKETING                  -   -   -   - 
MARRIAGE                 383 398 559 556 
MARRIED                    -   - 615 568 
MARTIN                     -   -   -   - 
MARY                       -   -   -   - 
MASS                     458 397 473 484 
MASTER                     - 498 495 495 
MATCH                      - 535 558 490 
MATERIAL                 378 539 559 490 
MATTER                   411 439 563 298 
MATURITY                 553 234 475 429 
MAXIMUM                    -   -   -   - 
MAY                        - 332 576 370 
MAYBE                      -   - 598 222 
MAYOR                    436 507 443 523 
ME                         - 511 607 430 
MEAN                       - 313 539 419 
MEANING                    -   -   -   - 
MEANS                      -   -   -   - 
MEANT                      - 226 499 282 
MEASURE                  344 366 555 379 
MEASURED                   -   -   -   - 
MEAT                       - 587 589 618 
MEDICAL                    -   -   -   - 
MEDIUM                     -   -   -   - 
MEET                       - 341 575 438 
MEETING                  356 403 575 451 
MEMBER                   392 455 573 399 
MEMBERSHIP                 -   -   -   - 
MEMORY                     - 284 573 391 
MEN                      236 586 621 587 
MENTAL                     -   -   -   - 
MENTION                    -   -   -   - 
MERCER                     -   -   -   - 
MERE                       -   -   -   - 
MERELY                     -   -   -   - 
MESSAGE                    - 459 557 438 
MET                        -   -   -   - 
METAL                    308 582 559 541 
METHOD                   481 303 556 304 
MIDDLE                     -   -   -   - 
MIGHT                    400 271 533 346 
MIKE                       -   -   -   - 
MILE                     314 460 568 511 
MILITARY                 428 417 458 478 
MILK                       - 670 588 638 
MILLION                  419 364 519 440 
MIND                       - 333 591 373 
MINE                       - 452 557 522 
MINIMUM                    -   -   -   - 
MINISTER                 342 563 500 584 
MINOR                      - 353 536 376 
MINUTE                   264 361 621 473 
MISS                       - 372 586 447 
MISSILE                    - 597 504 602 
MISSION                    -   -   -   - 
MOBILE                     -   -   -   - 
MODEL                      -   -   -   - 
MODERN                     -   - 579 368 
MOLD                       - 486 503 454 
MOMENT                   350 301 560 334 
MONDAY                     -   -   -   - 
MONEY                    247 574 631 604 
MONTH                      - 345 598 448 
MOON                       - 581 585 585 
MORAL                    539 220 535 341 
MORE                       - 284 612 264 
MOREOVER                   -   -   -   - 
MORNING                    - 515 605 579 
MOST                       - 321 560 306 
MOSTLY                     -   -   -   - 
MOTHER                   144 579 632 638 
MOTION                     - 367 541 416 
MOTOR                    344 565 545 521 
MOUNTED                    -   -   -   - 
MOUTH                      - 568 572 613 
MOVE                       - 390 572 413 
MOVEMENT                   -   -   -   - 
MOVING                     -   -   -   - 
MR                         -   -   -   - 
MRS                        -   -   -   - 
MUCH                       - 242 584 332 
MURDER                   381 445 528 549 
MUSCLE                   397 573 540 553 
MUSIC                    272 512 599 549 
MUSICAL                    -   - 538 451 
MUST                       - 297 589 247 
MY                         - 253 612 298 
MYSELF                     -   -   -   - 
MYSTERY                  342 256 548 472 
N                          -   -   -   - 
NAME                       - 405 573 475 
NARROW                     - 372 546 491 
NATION                   425 415 508 436 
NATIONAL                   -   - 556 400 
NATIVE                   425 471 508 507 
NATURAL                    -   - 594 376 
NATURE                   342 414 535 513 
NEAR                       - 337 582 408 
NEARBY                     -   -   -   - 
NEARLY                     -   - 611 305 
NECESSARILY                -   -   -   - 
NECESSARY                  -   -   -   - 
NECESSITY                511 273 521 306 
NECK                       - 587 576 622 
NEED                       - 314 589 327 
NEEDS                      -   -   -   - 
NEGATIVE                   -   -   -   - 
NEGRO                      -   -   -   - 
NEITHER                    -   -   -   - 
NEUTRAL                    -   - 491 300 
NEVER                      - 259 572 351 
NEVERTHELESS               -   -   -   - 
NEW                        - 348 614 418 
NEWS                       - 437 560 484 
NEWSPAPER                292 576 641 616 
NEXT                       - 262 548 386 
NICE                       - 279 583 375 
NIGHT                    222 496 636 607 
NINE                       - 452 571 494 
NINETEENTH                 -   -   -   - 
NO                         - 318 605 361 
NOBODY                     -   -   -   - 
NONE                       - 288 569 425 
NOR                        - 190 429 243 
NORMAL                   375 237 602 294 
NORTH                      -   -   -   - 
NORTHERN                   -   -   -   - 
NOSE                     206 628 584 605 
NOT                        - 273 565 253 
NOTE                     292 525 594 503 
NOTED                      -   -   -   - 
NOTHING                    -   -   -   - 
NOTICE                   369 479 634 467 
NOTION                     -   -   -   - 
NOVEL                    475 529 530 547 
NOVEMBER                   -   -   -   - 
NOW                        - 309 605 276 
NUCLEAR                    -   -   -   - 
NUMBER                   239 395 599 489 
NUMEROUS                   -   -   -   - 
O                          -   -   -   - 
O'CLOCK                    -   -   -   - 
OBJECT                   339 487 586 408 
OBJECTIVE                  -   -   -   - 
OBTAIN                     -   -   -   - 
OBVIOUS                    -   -   -   - 
OCCASION                   - 346 566 305 
OCCUR                      -   -   -   - 
OCTOBER                    -   -   -   - 
ODD                        -   -   -   - 
OF                         - 180 598 217 
OFF                        - 281 608 326 
OFFER                      -   -   -   - 
OFFICE                     - 569 566 518 
OFFICER                    - 550 549 593 
OFFICIAL                   -   -   -   - 
OFTEN                      -   -   -   - 
OH                         - 233 563 274 
OIL                      303 581 548 573 
OLD                        - 349 616 478 
OLDER                      - 348 548 479 
ON                         - 262 614 268 
ONCE                       - 315 539 322 
ONE                        - 379 613 432 
ONLY                       - 218 600 255 
ONSET                      -   -   -   - 
ONTO                       -   -   -   - 
OPEN                       - 381 581 425 
OPENING                  336 455 542 462 
OPERA                      -   -   -   - 
OPERATE                    -   -   -   - 
OPERATING                  -   -   -   - 
OPERATION                  -   -   -   - 
OPERATOR                   -   -   -   - 
OPINION                    - 285 550 359 
OPPORTUNITY              475 306 567 335 
OPPOSITE                   -   -   -   - 
OPPOSITION               550 316 483 359 
OR                         - 248 589 224 
ORCHESTRA                  - 578 533 619 
ORDER                    344 344 570 352 
ORDINARY                   -   - 584 271 
ORGANIC                    -   -   -   - 
ORGANIZATION               -   -   -   - 
ORIGIN                   492 319 537 306 
ORIGINAL                   -   - 525 324 
ORLEANS                    -   -   -   - 
OTHER                      - 275 581 265 
OTHERWISE                  -   -   -   - 
OUGHT                      -   -   -   - 
OUR                        - 245 602 315 
OURSELVES                  -   -   -   - 
OUT                        - 249 608 330 
OUTSIDE                    -   - 607 419 
OVER                       - 287 589 327 
OWN                        - 317 598 337 
OXYGEN                     - 484 529 430 
P                          -   -   -   - 
PACE                       -   -   -   - 
PAGE                     267 571 603 555 
PAID                       - 386 577 429 
PAIN                       - 426 569 502 
PAINTED                    -   -   -   - 
PAINTING                 258 615 527 602 
PAIR                       - 377 544 480 
PALACE                   294 579 462 612 
PALE                       - 385 499 532 
PALMER                     -   -   -   - 
PAPA                       -   -   -   - 
PAPER                    229 599 635 590 
PARALLEL                   -   -   -   - 
PARIS                      -   -   -   - 
PARK                     219 579 571 573 
PARKER                     -   -   -   - 
PART                     314 339 579 340 
PARTICIPATION              -   -   -   - 
PARTICULAR                 -   - 514 274 
PARTY                      - 496 619 596 
PASS                       - 385 535 479 
PASSAGE                  356 558 525 525 
PASSING                    -   - 566 368 
PAST                       - 293 545 446 
PATH                       - 504 531 537 
PATIENT                  366 487 538 526 
PATTERN                  319 472 555 453 
PAUL                       - 524 486 440 
PAY                        -   -   -   - 
PAYMENT                  439 432 527 472 
PEACE                      - 309 571 446 
PEOPLE                   281 540 628 548 
PER                        -   -   -   - 
PERCENTAGE                 -   -   -   - 
PERFECT                    -   - 613 404 
PERFORMANCE              457 409 530 453 
PERHAPS                    -   - 590 220 
PERIOD                   458 358 573 429 
PERMANENT                  - 336 526 390 
PERMIT                   458 399 516 388 
PERSON                     - 562 620 562 
PERSONAL                   - 311 559 408 
PERSONALITY              508 311 575 405 
PERSONALLY                 -   -   -   - 
PERSONNEL                575 429 482 375 
PHASE                      - 360 516 319 
PHILOSOPHY               622 257 491 348 
PHONE                      - 624 550 587 
PHYSICAL                   -   -   -   - 
PIANO                    253 615 545 630 
PICK                       - 502 524 513 
PICKED                     -   -   -   - 
PICTURE                  219 579 597 581 
PIECE                      - 384 511 395 
PIKE                       -   -   -   - 
PILOT                      -   -   -   - 
PINK                       -   -   -   - 
PLACE                    269 427 612 377 
PLAIN                    361 426 551 463 
PLAN                       - 357 571 379 
PLANE                      - 535 558 556 
PLANT                      - 594 592 605 
PLATFORM                 386 547 498 529 
PLAY                     192 468 586 498 
PLAYER                     -   -   -   - 
PLAYING                    - 379 582 464 
PLEASANT                   -   - 547 390 
PLEASE                     -   -   -   - 
PLEASED                    -   -   -   - 
PLEASURE                 394 302 583 511 
PLENTY                     -   -   -   - 
PLUS                       -   -   -   - 
POCKET                   228 578 590 558 
POEM                       -   -   -   - 
POET                       - 552 544 518 
POETRY                   386 425 512 486 
POINT                      - 464 538 481 
POINTED                    -   -   -   - 
POLICE                     -   -   -   - 
POLICY                     -   -   -   - 
POLITICAL                  -   -   -   - 
POLITICS                   -   -   -   - 
POOL                     239 573 541 577 
POOR                       - 311 548 447 
POPE                       - 593 489 576 
POPULAR                    -   - 626 422 
POPULATION               469 406 543 391 
PORCH                    319 596 455 586 
PORTION                  411 384 507 399 
POSITION                 375 351 559 346 
POSITIVE                   -   -   -   - 
POSSIBILITY                -   -   -   - 
POSSIBLE                   -   - 595 249 
POSSIBLY                   -   -   -   - 
POST                     306 533 586 518 
POTENTIAL                  -   -   -   - 
POWER                      - 325 556 450 
POWERFUL                   -   -   -   - 
PRACTICAL                489 331 585 358 
PRACTICE                   -   -   -   - 
PRECISION                  -   -   -   - 
PREPARATION              494 338 532 313 
PRESENCE                 456 326 514 339 
PRESENT                    - 389 569 481 
PRESIDENT                458 526 538 572 
PRESS                      -   -   -   - 
PRESSURE                 444 379 544 446 
PRETTY                     - 341 584 520 
PREVENT                    -   -   -   - 
PREVIOUS                   -   - 545 276 
PRICE                      -   -   -   - 
PRIDE                      - 270 564 424 
PRIMARY                  297 326 497 367 
PRIME                      - 360 492 386 
PRIMITIVE                  -   -   -   - 
PRINCIPAL                525 381 491 402 
PRINCIPLE                533 245 496 305 
PRIOR                      -   - 444 274 
PRISON                     - 570 462 593 
PRIVATE                    - 350 570 432 
PROBLEM                  367 360 596 411 
PROCEDURE                  -   -   -   - 
PROCESS                    -   -   -   - 
PRODUCE                  431 432 534 396 
PRODUCT                    - 516 562 435 
PRODUCTION               486 318 545 347 
PROFESSIONAL             494 379 520 383 
PROFESSOR                519 549 583 587 
PROGRAM                    -   -   -   - 
PROGRESS                   -   -   -   - 
PROJECT                    -   -   -   - 
PROMINENT                  -   -   -   - 
PROMISE                    -   - 598 320 
PROMISED                   -   - 566 298 
PROOF                    456 328 546 339 
PROPER                     -   - 546 295 
PROPERLY                   -   -   -   - 
PROPERTY                 447 460 531 466 
PROPOSAL                   -   -   -   - 
PROTECTION               461 308 519 410 
PROTESTANT                 -   -   -   - 
PROUD                      - 327 570 434 
PROVE                      -   -   -   - 
PROVIDE                    -   -   -   - 
PROVIDED                   -   - 576 264 
PROVIDENCE                 -   -   -   - 
PROVISION                508 432 453 343 
PSYCHOLOGICAL              -   -   -   - 
PUBLIC                   400 356 602 448 
PUBLICATION                -   -   -   - 
PULL                       - 360 565 446 
PULLED                     -   -   -   - 
PURCHASE                   -   -   -   - 
PURE                       -   - 590 366 
PURPOSE                  428 280 572 280 
PUT                        - 287 539 263 
PUTTING                    -   -   -   - 
QUALITY                    - 274 560 349 
QUEEN                    247 537 527 612 
QUESTION                 314 387 588 398 
QUICK                      - 343 570 363 
QUICKLY                    - 292 581 376 
QUIET                      - 389 577 426 
QUITE                      -   -   -   - 
R                          -   -   -   - 
RACE                       - 463 543 457 
RADIATION                  -   -   -   - 
RADIO                    317 615 644 613 
RAILROAD                   - 579 493 596 
RAIN                     211 600 604 618 
RAISE                      - 340 534 418 
RAISED                     -   - 545 376 
RAN                        -   -   -   - 
RANDOM                     -   -   -   - 
RANGE                    436 417 515 413 
RAPID                      - 415 524 387 
RARE                       - 327 559 439 
RATE                     456 308 527 311 
RATHER                     -   -   -   - 
RAW                        - 399 509 470 
REACH                      - 368 577 391 
REACTION                 506 312 533 395 
READ                       - 420 568 499 
READER                     -   -   -   - 
READILY                    -   -   -   - 
READING                    - 377 581 436 
READY                      -   -   -   - 
REAL                       - 285 596 313 
REALITY                  469 296 551 315 
REALIZE                    -   -   -   - 
REALLY                     -   - 562 246 
REAR                       - 402 547 455 
REASON                   383 332 601 285 
REASONABLE                 -   - 585 305 
RECALL                     - 319 526 424 
RECEIVE                    -   -   -   - 
RECENT                     -   - 513 298 
RECEPTION                  -   -   -   - 
RECOGNITION                - 266 507 388 
RECOGNIZE                  -   -   -   - 
RECORD                   322 558 609 591 
RECREATION                 -   -   -   - 
RED                        - 501 607 585 
REDUCE                     -   -   -   - 
REDUCTION                508 313 509 332 
REFERENCE                  -   -   -   - 
REGARD                     -   -   -   - 
REGARDLESS                 -   -   -   - 
REGION                     - 441 511 459 
REGIONAL                   -   -   -   - 
REGULAR                    -   - 580 320 
RELATED                    -   -   -   - 
RELATION                 375 383 585 451 
RELATIONSHIP               -   -   -   - 
RELATIVE                   -   -   -   - 
RELIEF                   443 303 551 432 
RELIGION                   - 375 565 434 
RELIGIOUS                  -   -   -   - 
REMAIN                     -   -   -   - 
REMARKABLE                 -   -   -   - 
REMEMBER                   -   -   -   - 
REMOVAL                  406 346 498 391 
REMOVE                     -   -   -   - 
REMOVED                    -   -   -   - 
REPLY                      -   - 550 341 
REPORT                   386 417 590 411 
REPRESENT                  -   -   -   - 
REPRESENTATIVE           531 434 511 380 
REPUBLIC                 556 376 458 356 
REPUBLICAN                 -   -   -   - 
REQUEST                    -   -   -   - 
REQUIRE                    -   -   -   - 
RESEARCH                   - 366 546 445 
RESIDENTIAL                -   -   -   - 
RESISTANCE               503 358 540 416 
RESOLUTION               550 265 433 316 
RESPECT                  433 280 571 343 
RESPONSE                   -   - 544 348 
RESPONSIBILITY           514 222 532 294 
RESPONSIBLE                -   - 588 348 
REST                     222 351 590 396 
RESTAURANT                 - 583 593 611 
RESULT                   406 318 623 324 
RETURN                     -   - 582 293 
RETURNED                   -   -   -   - 
REVEALED                   -   - 517 346 
REVIEW                   547 388 496 345 
REVOLUTION               517 378 477 513 
RICH                       - 377 575 467 
RIDE                       - 424 576 483 
RIDING                     -   -   -   - 
RIFLE                    322 606 477 581 
RIGHT                      - 361 599 372 
RING                     208 593 589 601 
RISE                       - 368 546 451 
RISING                     -   -   -   - 
RISK                     397 290 517 405 
RIVER                      - 585 565 633 
ROAD                     206 583 604 609 
ROBERT                     -   -   -   - 
ROCK                       - 600 583 612 
RODE                       - 353 496 451 
ROLE                       - 335 524 385 
ROLLED                     -   -   -   - 
ROMAN                      -   -   -   - 
ROME                       -   -   -   - 
ROOF                       - 586 552 604 
ROOM                     244 566 627 545 
ROSE                       - 608 556 623 
ROUGH                      - 452 557 491 
ROUND                      - 438 563 559 
ROUTE                    447 440 515 447 
ROYAL                      -   -   -   - 
RULE                       - 286 534 415 
RUN                        -   -   -   - 
RUNNING                    - 444 571 490 
RURAL                      - 358 493 437 
RUSSIA                     -   -   -   - 
RUSSIAN                    -   -   -   - 
S                          -   -   -   - 
SACRED                     -   -   -   - 
SAFE                       - 376 531 474 
SAFETY                   339 323 556 397 
SAID                       - 306 600 313 
SAKE                       -   -   -   - 
SALARY                   558 456 527 452 
SALE                       - 364 555 422 
SALT                     233 594 612 570 
SAM                        -   -   -   - 
SAME                       - 248 569 326 
SAMPLE                     -   -   -   - 
SAN                        -   -   -   - 
SAT                        -   -   -   - 
SATISFACTORY               -   -   -   - 
SATURDAY                   -   -   -   - 
SAVE                       - 314 559 365 
SAW                      269 532 552 531 
SAY                        -   -   -   - 
SAYING                     -   -   -   - 
SAYS                       -   -   -   - 
SCALE                    397 475 523 463 
SCENE                    425 408 526 432 
SCHOOL                   228 573 582 599 
SCIENCE                  458 366 577 423 
SCIENTIFIC                 -   -   -   - 
SCORE                      -   -   -   - 
SCREEN                     -   -   -   - 
SEA                        - 596 537 606 
SEARCH                   344 371 537 402 
SEASON                   328 445 565 495 
SEAT                       - 568 597 574 
SECOND                   289 344 598 371 
SECRET                     -   -   -   - 
SECRETARY                456 576 528 563 
SECTION                    -   -   -   - 
SECURITY                 508 290 513 391 
SEE                        - 352 625 379 
SEED                       - 611 514 542 
SEEING                     -   -   -   - 
SEEK                       - 375 506 335 
SEEM                       - 226 549 249 
SEEN                       - 336 576 351 
SELECTION                439 328 523 311 
SELF                     328 459 604 466 
